disease,symptoms_used,generated_call
Asthma,"Burns, Wheezing, Arrhythmia","Oh God— please— [sobbing] he's, um, he's— [breathing heavily] I-I-I can't breathe. J-just help me, I feel— I feel like there's a, uh, a heavy weight on my chest. [coughing] It's— It's like, [gasping] unbearable. M-my heart... it's beating s-so fast, can barely catch m-my breath. [wheezing] Feels like I'm, um, running a marathon...[sobbing] But I'm just... sitting here... and... [coughing] my throat... it's like I swallowed sandpaper. [wind] I-I just... I need help... please... God— please... 

S-so hot... Everything's s-spinning... I can't... [gasping] I can't stand up... My legs are shaking too much... My stomach— it hurts... [crying] Feels like..., uh, someone’s twisting it inside... and my skin... Oh God— [breathing heavily] I'm sweating but— but, um... it's cold, t-too cold. Darkness— it's closing in on me... [whispering] Please... hurry."
Asthma,"Shortness of Breath, Cough, Burns","Please— um, I— I need help— [crying] my husband, he— he’s not well! [gasping] He's really weak— can hardly stand. His skin is— is so pale, like paper. He just keeps shaking, it won’t stop! [sniffles] His heart's, um, beating so fast, I can see it through his shirt... Oh God, he's sweating so much... [breathing heavily] And he's been getting these awful pains in his chest, it's scaring me. [sobbing] I've never seen him like this. We need help, please!"
Asthma,"Wheezing, Shortness of Breath, Cough","Oh God— I... I need help... I seriously need help. My head's—[gasping] I can't think straight... Uh—my chest... [breathing heavily] there's this—this dizziness... And my— and my upper body, it's... it's hurting. And I— I just— [sobbing] passed out and when I came to—I was... I was sweating, but I... I'm shivering. Why am I so cold?

[whispering] It— it's difficult to breathe... And my heart, it's— it's pounding like a racehorse. I can't... I can’t hold anything stable, my— my hands won’t stop trembling. And there's... uh— a— rash— on my face, but [sighs] it’s not itchy or anything... just— just hot and red. Oh God, you gotta help. I— I don't know what's happening to me."
Asthma,"Cough, Wheezing, Shortness of Breath","I— I— [breathing heavily] My friend, she— she's not doing very well. She's so pale, more white than I've ever seen her—but also flushed, all at the same time. [sobbing] She's complaining about an ache, a really awful pain, right in the middle of her back. Then there's the headache, it's splitting, she said... [sighs] And her eyes— they're bloodshot, really red... but dry, so so dry—no tears. And she's saying weird things, nonsensical, just babbling— [crying] I think her mind's playing tricks on her or something. Oh, and she's been so thirsty... keeps asking for water over and over... but she can't seem to get enough. Please—help her! [sirens in distance]"
Asthma,"Cough, Wheezing, Arrhythmia","I— I, um, there's a problem. His chest— [gulps] it looks like it's collapsing. And there's...there's this, I don't know— [whispering] froth? Around his mouth. His lips are blue. And, and he just— [gasping] oh God, he just fell in the bathroom. [sounds of shuffling] I... I guess he must've hit his head, there's a bump...a really big one. And um— his heart. It's just, uh, going way too fast, I think. Can't— can't make out what he's... he's babbling about. Please... [sobbing] help."
Hyperventilation,"Burns, Arrhythmia","Um, hello? [shaky breaths] I— I need help… My friend— she's really sick. One minute we're — chatting and — and the next she's on the ground. I— I don't know what's happening, she— she's sweating so much, her skin is hot [stifled sob] — like burning. She's... she's not responding [whispering], god, she's shaking so much. Her... her heart's going too fast...like a drumming rabbit. And her... her cough, um, it's terrible — like she can't breathe [whimpers]. Please— I don't know what to do! She’s — sh-she's not supposed to be like this! [crying]"
Hyperventilation,"Arrhythmia, Burns","Hello— um, is this 9-1-1? [breathing heavily] I— I need help... I don't feel so good. There are these... I have sharp pain in my right side. [groans] It's, uh... it's really severe. It won't go away. And.. and my stomach is—I can't even describe it... all upset and just knotted... It's like I ate something bad, but I don't— [coughing] I don't think I did. 

My, um... my skin feels really hot, like a— [sighs] a fever, but then I'm also cold? Like— like I'm shivering. [chattering teeth] My heart is also... it's beating pretty, um, fast. Is— is there an ambulance that could come or something? [sirens in distance] God, I'm scared..."
Hyperventilation,"Burns, Arrhythmia","Oh God— uh, help— I— I can't— [gasping] there's— there's so much blood— and— and he's fainted and now— [swallows hard] he's not— not responding. [Sound of hurried footsteps] He— uh, he's um... the areas round his mouth— they're turning— turning blue— and his pulse... his pulse is racing— uh, so fast... [soft whimper] I can't... I can't tell what's wrong but— but he's just— uh, his, uh, the whole body feels so hot... just too hot— [sobbing] just unnatural. Yet he still... [pauses] he still looks so pale... [more sobbing] He— he needs help!"
Hyperventilation,"Arrhythmia, Burns","Oh, God— I— I need help...[sobbing] He— he's just lying there... not moving. [coughs] He's been having these terrible chest pains all day. And now— [breathing heavily] he's unconscious... and he's having difficulty b-breathing, like he can't get enough air, you know? [sighs] He's sweating so much, just drenched... and his skin— it's so cold...

I— I don't know what's happening... [crying] his heart is— is pounding like crazy... I can even see it beating through his shirt... [gasping] But it's slow, much slower than normal... I— I'm so scared... P-please hurry. [traffic noise]"
Hyperventilation,"Burns, Arrhythmia","Please, you've got to— [gasping] you've got to send someone—I can't — I can't breathe. Uh, it's getting worse and — and my — my chest hurts, it — it feels tight, right— right here. [coughing] It's so— so hard to breathe. Deep breaths just lead to coughs, and uh, my temperature — it's sky-high. I'm shaking, can't —can't stop— [voice shaky] feeling cold, so very cold. 

And my throat, it's raw. [sighs] It hurts, hurts so—so much to swallow. I keep drinking, but— but it doesn't help. [sniffles] I— I can barely stand on my own. My body — it's weak, like — like it's not mine anymore. [sobbing] Please, I need help."
Hyperventilation,"Burns, Arrhythmia","Oh God, I— I don't know what— [sobbing] I just found him on the floor. He's very— [whispering] very hot, like burning up. He's not waking up and he's shaking— shaking like a leaf. [sniffles] I— I don't know what's happening, his chest is so tight, can barely breathe... barely breathe. [wheezing] He— he's sweating so badly. His skin, it's so— so blistered and red, almost boiling like... and, and, I don't know what to do! What— [crying] what should I do? Please, someone— anyone— [sobbing, sirens in distance] I need help!"
Hyperventilation,"Arrhythmia, Burns","Oh God— I m-mean I can't— [gasping] I can’t really explain… She— she started shaking all over, you know, like— like she was just— um, cold or s-something… [sobbing] And then— and then her face started becoming really hot... I t-touched it and— and it was just burning, like really b-burning! [crying] 

And now— now s-she’s… she's collapsing, barely conscious… Her b-breath, it's fast, shallow, l-like she can't get enough air... And her heart's beating so fast— so crazily fast… [whispering] I... I d-don't know what to do… Please, please help! [traffic noise]"
Hyperventilation,"Burns, Arrhythmia","I— [gasping]— I just, uh, you need to send someone quick, okay? [coughing] My— my heart's pounding, like it's— it's about to rip right out of my chest, and it's just— I can't breathe, you know? And it's like— like there's this constant throbbing in my head, like— like a drill. [breathing heavily] 

And— and my— they're just all over me, you know, these... these red spots— they itch and— [sighs] can't seem to stop scratching... God, feels like I'm— I'm burning up inside... [sobbing] Please, I— I need help..."
Hyperventilation,"Arrhythmia, Burns","Um, hello— [heavy breathing] I— I'm not sure what's— what's happening. Like, I can't, uh, you know— [coughing] I can’t breathe well and it's just— [shaky breath] too hard to stand up. My, uh my— [swallowing] throat's dry. I keep [sighs] fighting fever, you know? 

[softly crying] And my cough, it's not normal, you know. It's this, uh, harsh— harsh and persistent. [coughing] My body's just— too tired— [shaky breath] acting funny, feeling all clammy. And I— I don't know— [sobbing] don't know what to do!"
Hyperventilation,"Arrhythmia, Burns","I— I need help— [breathing heavily] I was just on a hike w-with my sister— she's the fit one, not me... and she... she— [gasping] she collapsed. She's — she's sweating a lot... even though it's cold and— [sniffles] she... she keeps shaking, I dunno why. She's hot to the touch—f...feels like a furnace— [crying] and there's this dizziness... she can't even stand. And her— her heartbeat, it's just... [whispering] it's too fast. Uh— um... It's like her body is fighting something... Maybe it's... it's the tiredness? No— [sobbing] I can't— I can't wake her up... [sirens in distance] Please... hurry!

I— I don't know what to do... it's her throat too— [whispering] she can barely breathe. It's just — [coughing] it's just like a wheezing sound... like a whistle almost... Uh— um... She's... she's got this weird rash too... it just popped up on her neck and... and arms— [crying] Oh God... Please... j-just get here, okay?"
Shock,"Paleness, Burns, Arrhythmia","I— I can't breathe— [gasping] and there's like... um, this stabbing pain in my chest, you know? I— I tried to stand up... but it just felt like the whole room was spinning and I... I fell back [wheezing]. I— I've been so weak and tired, like more than just normal tired... and I wake up in the middle of the night, drenched in sweat... it's not— it's never been this bad before... I just— I need help. [crying]

And um, my skin— it's all rashes and spots, from head to toe... like I'm allergic to something, but I don't know what... I just— [coughing] [wind howling in background] God, can you— can you send someone? I— I don't know what else— what else to do..."
Shock,"Arrhythmia, Rapid Pulse, Weakness","Uh— hello? I— I need help— [breathing heavily] my husband— he's collapsed on the floor— [quiet sobbing] I— I can't wake him up. He was... uh... staggering around... like he was drunk or something. He was slurring his words, just not making any sense... and his right side was weak— can't hold a thing. His face, too, it's— it's drooping, like... like he can't control it. Now he's— he's unconscious... He's got this terrible, pounding headache— said it was the worst he's ever had... I'm so scared... [audible sobbing] Please— you've got to help him!"
Shock,"Arrhythmia, Rapid Pulse, Weakness","I— uh, I need help— [gasping] he's, he's very sick. Can't, um, c-catch his breath, he uh... [whispering] he just passed out on the kitchen floor. He was coughing up— [sobs] b-blood, can't— can't stop sweating either. And his— God, his skin's yellowing... [sirens in distance] No, it's not— he doesn't drink, never. This sudden, this— this severe.

Oh God— [crying] he's so cold, so cold and clammy and I— uh, I don't— I don't know what to do. His heart— he said his chest hurts a lot and um, his pulse, it's weak... He's barely— um, he's barely conscious and keeps mumbling stuff... I— I can't make sense of it. Please— [wheezing] I can't lose him..."
Shock,"Burns, Weakness, Unconsciousness","Oh— oh god, I— I need help— I can’t— I, um, I can't breathe right... [gasping] I'm so— I'm so hot, like— like I'm burning up. My chest — [clutches chest] it's so tight— hurts to— to even move. [winces in pain] My— my thoughts are all jumbled... seeing things blurry. [whispering] I'm scared... please, need help...

[sobbing] My head— my body— it— it's aching...can't stop— can't stop shaking and I— [coughing] I can't smell or taste anything. God, I— I've never felt something like this before— it's all too much... [breathing heavily] And— and my belly hurts. Hurts real bad... don't know what's happening... [sirens in distance] Please... tell them to hurry..."
Shock,"Paleness, Arrhythmia, Unconsciousness","Uh—uh, hello? I— I need help— [breathing heavily]. My friend— he just— he can't breathe, he's— [gasping] I don't know— what's happening. He— he has a high fever— his cheeks are so red, uh, like ripe tomatoes, I— I swear. And, uh, and he's coughing— [coughing] like— like a machine gun… I'm— I'm scared…

And, uh, he's out cold, I— I just can't— [sobbing] I can't wake him up! [crying] His skin— it's all covered in— um, in these little red dots— and his body— it's— it's shivering… like it's freezing cold, but it's not— it's not cold here! I don't— I don't know what to do— [shouting] please, uh— please send help, I— I'm— [sobbing] I'm so scared."
Shock,"Rapid Pulse, Unconsciousness, Paleness","Oh God— I... I [gasping, crying] I don't know what’s happened. My husband— he's just suddenly— I don't know— he’s covered in sweat and he’s burning up. It— It's like an oven. He’s so cold, he’s— shaking like a leaf. It— It’s so bad, he's... he's [breathe heavily] breathing weird— like— he's... gasping for air. And then he just collapsed; he just dropped— like he got no energy at all. He was mumbling... mumbling something I cannot understand. Oh God, please [whispering, wailing] help us."
Shock,"Burns, Paleness, Unconsciousness","Uh, h-hello— [breathing heavily] I— I need help, please. My— my friend, she— [gasping] She can't breathe right. Keeps coughing, real bad, c-chest tight, difficult to breathe... uh—uh, and her lips, they're turning blue, um, she can barely stand, keeps—weaving... unsteady. There— there's this fever that won't go away, even with medicine—it's been days now. She's drenched in, um, cold sweat but she, um, she keeps shivering. Please, um, she needs help. 

[crying] It's—it's horrifying. Her eyes, they're bulging out, like she's straining, straining to see something. And the pain— she's clutching her abdomen, can't eat anything, keeps—keeps throwing up... I don't know what to do— [sobbing] You've got to send help, fast. Please!"
Shock,"Unconsciousness, Arrhythmia, Paleness","I—uh, I need help. He's— he's uh— got no color in his face— uh, all pale— and his— his hands, they feel like— like ice and s-s-sweaty— [whispering] I don't know what to do... [sniffles] It's hard— hard for him to breathe, like, um, heavy— [mimicking] uh—úh—uh—úh— and he's hardly moving, just laying there, and—oh god, it's freezing— [shivering] um, and his head is s-so hot... [crying] Please help him! I don't— I don't want to lose him! [sobbing] Please, someone come fast!"
Shock,"Unconsciousness, Arrhythmia, Rapid Pulse","I— I need help. [gasping] I— I can't catch my breath and, um... I— I've got this pounding in my chest— like my— my heart's trying to jump out of it... [sighs] And my...my arms are so... so heavy. And there's this— this— awful taste in my mouth— like... like a pile of pennies. Ain't been able to eat right. [coughing] And the headaches. I can't seem to shake off this splitting headache. Over here... it's kinda hot, isn't it? Uh... I— I think I'm burning up... [whispering] I feel so faint...  so dizzy... [sirens in distance]."
Shock,"Unconsciousness, Burns, Paleness","Oh God, yes… hello? I— I need help— [breathing heavily] it's my husband! He— [crying] um, he keeps falling over— just stumbles— his balance is all off! Can't… can't walk straight! And the—the headache… won't leave him! He's in so much pain!

There’s… there’s red patches all over his skin— little, tiny red dots! And I— uh, I don't know what to do— [coughing] he even has this— this high fever… It never goes below a hundred [whispering] and he’s not… not even eating anything! What should I—? Oh, please, I need help!"
Head Injury,"Confusion, Burns, Unconsciousness","Oh God— [sobbing] um, yeah— h-h-hello? Sorry, I'm just— I'm really [breathing heavily] scared right now. My— my dad's not okay. He— he's been, uh, coughing a lot [coughing] and his chest... his chest looks kinda— swollen? Plus, he's shaking all over, uncontrollable-like. And then there's this... hideous, um, uh, rash spreading on his face and body. And his heart, Christ— I think it's [whispering] beating wildly, like a drum out of control. Oh God, what— what's happening to him?

I tried to make him comfortable. I tried! But his temperature's, um, oh— it just keeps— [gasping] s-shooting up. [Sighs] And then, he started vomiting like... like there's no end to it. He's so weak; he can hardly stand without... [crying] without collapsing. Please, please, someone needs to come now!"
Head Injury,"Arrhythmia, Headache, Confusion","I— I can't— [gasping] my hands— they're so—I don't know... [whispering] I'm shaking... why— why am I shaking so much? And my heart feels like it's— [sighs] feels like it's pounding out of my chest. Uh... it's getting hard to breathe and— and everything's spinning... I— I need some... [wheezing] some help please...

I woke up— [coughing] I woke up in a sweat, thought it was just a nightmare but, it's all... it’s real. My brain feels heavy, like it's full of... [breathing heavily] uh... thick fog or something. I— I can barely think straight, everything's blurry... And my skin— it feels hot... too hot... Can someone— can someone come... please? [sobbing] Is anyone there...?"
Head Injury,"Arrhythmia, Burns, Unconsciousness","Uh— hi, I— I need— [breathing heavily] need some help over here— My— [coughing] My friend, she's— [sighs] she's not real responsive whole of a sudden. And, um— [wind] she was— she was talking fine just a minute ago. Now— I don't— I'm not sure what— she's uh— she's feeling very, very cold.

[sobbing] And, uh— she's uh— sweating, like— profusely. And, um— her heart's— her heart's pounding like crazy. I— I can— I can— [whispering] I can hardly hear what she's saying. Um— She uh— [coughing] she's having— having trouble catching her breath, I think. [sirens in distance] Please— please hurry!"
Head Injury,"Burns, Arrhythmia, Unconsciousness","I— I... I can't believe this is happening. I... [heavy sighs] I was just talking to him, he— he was okay, but suddenly he... he started shaking, like the whole world was a snow globe or something. Seizures, I think. He's— he's never had them before. Eyes rolling back, it was... it was terrifying.

Now he's... he's not moving, I— I don't know if he's breathing— [gasping] wait, yes... yes, he is. But he's so... so out of it, not responding at all. and... [strained voice] and he's got hives, I think... big blotches on his skin, like— like he's having some nasty allergic reaction. Please... [sniffles] please hurry."
Head Injury,"Unconsciousness, Arrhythmia, Confusion","I— I... don't know what's happened… [gasping] I just came home and found her—my wife... She’s just sitting there on the couch [heavy breathing] not responding... Her body is all shaky—like, trembling non-stop, her skin's cold, and she can't even stand up… I tried—[sighs] I tried to get her to drink something, but she’s been throwing up… Her eyes, they're so glassy and she's barely blinking… She— [crying] I— I need help... Please!"
Head Injury,"Burns, Confusion, Headache","I— I— I can't... [panicked breathing] I don't know what's happening... My— my husband, he's... he's been having this terrible headache and a fever. He's delirious... he's saying things— things that don't make any sense... [quiet sobbing]

And— oh God— he's so tired, but just can't seem to get any sleep. He's getting chills... I can't get him warm, no matter how many blankets I put over him... [sharp inhale] There's this rash too... I think— I think it started on his leg, it looks... it looks awful. Please, someone... someone, help! [sirens in distance]"
Head Injury,"Burns, Arrhythmia, Confusion","I— I can't believe this is happening… It's my husband, he— he just collapsed! [coughing] He was complaining earlier about not feeling right. He said his chest felt all tight and heavy…  like it's full of cement or something. He was breaking into sweats, too, and dizzy… [coughing continues] his skin is so pale… like a ghost! No, he's not reacting to anything I say or do! I don't— I don't know what to do… [sobbing]

His breathing is weird, too… [breathing heavily] it's almost a struggle, you know? Almost like he's trying too hard. It's not just that, but— [gasps] his pulse, it’s so rapid and almost faint… I’m losing it…please, we need help! [sirens in distance] Please hurry… I— I can't lose him."
Head Injury,"Unconsciousness, Arrhythmia, Burns","Oh my God— I— I need help— [crying] right away. She's... she's so hot, her forehead is like a... a furnace. I— I can barely touch her— [sobbing]. And her body, it— it's not stopping to shake— shaking so bad, she's— [sobbing] so scared and— and so am I. And— and she's struggling— [gasping for air] to breathe, hardly drawing any air... 

Can't keep anything down— every time she tries to eat, just, just comes right back up. And— and [whispering] and her eyes— they’re all glazed over, it's like she— she's not really here, just— [choking on tears] staring into nothing.... My God— somebody— please... [crying heavily] help."
Head Injury,"Burns, Confusion, Unconsciousness","I— I can't— uh, my chest hurts— [gasping] I— I can't breathe... Can't— can't catch my breath— it feels like I've been run over by a truck. [coughing] I'm so exhausted. [sighs] This morning I woke up sweating and the entire room was spinning, couldn't even stand up straight... [coughing] And my— my throat; it's so sore, I can’t even drink water. Uh, wait— [sirens in distance] is that— uh, that's you guys, right? You're getting here soon, right?"
Head Injury,"Headache, Arrhythmia, Unconsciousness","I— I don't know what's happening... she's just— [breathing heavily] lying here like— like she can't— [wheezing] can't catch her breath... and she's got this terrible… terrible headach— [coughing] headache... I think she must've fainted or something 'cos she's— uh— she's so weak... can't move or... [gasping] can't... stand up... 

And she's been— she— she's been having this... this awful fever since morning... and she'd been complaining about her— her muscles aching... and then... then she started coughing vermilion— [sobbing] it scared— scared the hell out of me... I— I— [crying] oh my God, I need an ambulance— please... please send help..."
Abdominal Injury,"Arrhythmia, Burns, Chest Pain","I— I can't— [gasping] I can't— um, can't breathe— proper. It's like— like there's a huge weight on my chest... [wheezing] feel— feel faint. [traffic noise] I mean— I mean, doubled over, uh, with pain in my abdomen... [groans] Can't seem to stand straight up. Numbness— uh, numbness in— um, in my left leg too. Can't really speak, uh, too loudly... [whispering] feeling real drowsy. Gotta be— gotta be something serious. Please... [crying] ...please, send help."
Abdominal Injury,"Burns, Vomiting, Arrhythmia","Please— please you've got to help! [crying] I— I can't breathe properly— and I feel so— so dizzy all of a sudden. [gasping] And— and there's this crushing pain in my chest— like a ton of bricks got dumped on me. [wheezing] Um— uh— I keep breaking out into these awful, drenching sweats— like I–I just ran a marathon. [sighs] I don't— don't know what's going on— I've never felt like this before…

[coughing] I— I can't focus my eyes too well— everything... everything's blurry and my head—oh god my head it's pounding... [shouting] And my arm— it feels numb! I can't— I barely can move it. [crying] You need to get someone here quick, please!"
Abdominal Injury,"Burns, Vomiting, Chest Pain","Uh— [breathing heavily] I need help. My— my husband, he— he's got this severe headache and he's sweating so much. He— he can't— [sobbing] he can't keep any food down and he's been really tired— like, he can't seem to get up or— or do anything. Now he's coughing all the time. Can't even talk straight. His mouth— it's so dry— [gasping] and he's so thirsty, but— but he can't drink anything. [crying] Oh God, I'm really scared— and he— [sighs] he's just getting worse. Please, please send help!"
Abdominal Injury,"Burns, Chest Pain, Arrhythmia","I— I need— [gasping] goodness, you've gotta— got to help... My husband. His skin— it's turning this weird— [sobbing] yellow color. And doesn't— doesn't even recognize me anymore... [heavy breathing] He's losing touch... and he's just— constantly throwing up... and he— he seems so confused... [crying] his muscles... they're so— so weak. He just— [sighs] collapsed. Can't— can't even hold a glass of water. [background noise: dog barks]

His temperature— [sniffles] it just won't— won't drop, it's so high. He— he's burning up. [whispering] and his chest... it— it hurts... so much. Breathing— breathing so heavily... [wheezing] His heart rate... is incredibly fast— almost like it's a horse galloping... [sobbing] Please... please come fast."
Abdominal Injury,"Arrhythmia, Chest Pain, Burns","I— I can't— [gasping] I can't get my— my breath…. [wheezing] My chest— it's like there's a weight on it. Feels like— like I ran a marathon. [coughing] My throat's all scratchy. And I’m, uh— I'm so damn tired… like I haven't slept in days… I— I don't understand... [crying] And my temp— fever's through the roof, I'm hot then cold, then burning up again… It’s...it's hard to— [breathing heavily] hard to stay awake… [siren in distance] Please— please hurry…"
Abdominal Injury,"Vomiting, Arrhythmia, Burns","Oh God— uh— I— I need help... [breathing heavily] My—my neighbor, she's— she's really sick. She's so weak, can't even get up from the couch, barely— [coughing] bare— barely consciousness... [sobs] I—uh—I went to check on her, but...she's so pale and— and there's rashes all over her body. [crying] She— she's got chills, shaking as if she's Freezing and just keeps throwing up— there's vomit everywhere. [heavy breathing] What should I— [coughing] What should I do? It doesn't seem like flu... she's been like this for days [wind howling] Wait, wait— I— I have to tell you something else— she's got this hor—horrible cough, it doesn't sound normal. [sobs] Please, send someone... I don't know what to do."
Abdominal Injury,"Burns, Arrhythmia, Chest Pain","I— I don't know what— [gasping] what to do. He was— he was fine, then— then suddenly, he wasn't. So — so tired, always sleeping... And his skin, it's— it's yellow, like— like a banana or something. His— his eyes too. I— I thought he was just— um, just tired.... but now he— he's cold. So cold. He's cold and— and his stomach— [sobs] it's bloated. What do I— [crying] What do I do? The pain— the pain he's in... He can't even— even stand up straight— he's— he's losing weight so fast... Please— [whispering] please help me."
Abdominal Injury,"Burns, Chest Pain, Arrhythmia","I— I need help… [coughing] There's something— something terribly wrong… I—uh… I can't stop [breathing heavily] shaking—just can't get it under control... It starts with my hands, and— on uh— it doesn’t stop, it— it spreads… It's like—um… a fever, hot and cold flashes, it's making me dizzy and [sighs] nauseous. [whispering] I think I blacked out once, m—maybe twice already… I'm confused, like the world is spinning around me... I’m seeing…uh, you know, um…seeing spots, and everything—uh…goes black. And the pain, it's [gasping] it's everywhere, like my body is turning against me. Uh— send help, please!"
Abdominal Injury,"Burns, Chest Pain, Vomiting","I— I just— [gasping] I can't believe — it's happening... again. My chest, um, it feels so— so heavy, I can barely move— [struggling to breathe] and... and this— this cold sweat just— it won't stop. I have this, uh, terrible headache. I— I can't... can't think straight. And my throat? It's—it's so sore... It's like— like I swallowed a cactus or something. And I— I just can't stop shaking... [crying] I just— I don't understand what's happening to me... [sirens in distance] Oh God... Please, hurry..."
Abdominal Injury,"Swelling, Burns, Vomiting","I— I— [gasping] I’m sorry, my chest... it's... it's so tight. I can't— I can't breathe properly... I— I was just walking and — and then this overwhelming exhaustion, I can’t [sobbing] uh, barely stand... My heart is [breathing heavily], it's racing and I feel light-headed... dizzy almost. Suddenly my skin is— is so— [coughing] it's so hot... uh, so much sweat... right outta nowhere. Sw- swallowing seems— um, swallowing seems hard, like I've a lump— a lump in my throat... My, my throat... it's— it's sore, dry... [whispering] I— I'm scared."
Chest Injury,"Arrhythmia, Burns, Shortness of Breath","Oh god, I— I need help— [sobbing] My husband, he's not okay. He's been— [gasping] he's been sleeping all day, just can't wake him up and he's so hot, uh, burns to touch even. He's all... [swallowing hard] all sweaty and he, um, has these bright red spots all over his face... like a rash, I think. His breathing, it's— it's just not— not right... [choked sob] raspy. And and and... his— his lips... his lips are all blueish, they look so scary... I just don't know what to do... [sirens in distance] Please, um, he needs help... I— I can't lose him... [crying]"
Chest Injury,"Shortness of Breath, Chest Pain, Arrhythmia","I— uhm— I uhm, I've got a problem. I'm all dizzy, like I've had a few too many drinks, y'know? I just ate but I'm so [sobbing] so, so tired, I can't, for the life of me, stay awake... The room's... the room's spinning, I— feel my heart [gasping] racing— and— breath. Taking shallow breaths 'cause it feels like someone's sitting on my chest. Then there's this pounding headache, [sighs] makes my head feel heavy as a ton. I feel like I might... I might pass out soon. I'm... I'm scared. Please— please send someone."
Chest Injury,"Shortness of Breath, Chest Pain, Burns","I— God...  He— he just collapsed, all of a sudden... He can't— he can't— [gasping] He can't move his left side— [sobbing]. His face uh— his— it's kinda drooping on the left side too. [heavy breathing] And his speech is so slurred, I— I can barely understand him.

[crying] Oh god, I— I don't know what to do! He's— he's got this, um, terrible headache— says it's the worst he's ever felt— and he's not... he's not his, um, usual response to stimuli [whispering]. He's feeling dizzy and, um, even a bit nauseous. [wheezing] I— I need help... Someone needs to come— ugh, now! [sirens in distance]"
Chest Injury,"Burns, Chest Pain, Arrhythmia","Oh God— I— I need help— my father, he— he's really sick. He's... he's having this severe pain in his chest, uh, and, and he's having trouble uh... [breathing heavily] breathing... his breath is, um, shallow and rapid... you know? He's also been coughing hard, but it's, it's dry... nothing's, nothing's coming out... [coughing] And, there's this blue... tint around his lips. He's also so weak, keeps saying he's dizzy and he, he can't... um, can't think clearly... I don't know— what to do— [sobbing] he doesn't usually... get like this... [sirens in distance] Please, send someone quickly..."
Chest Injury,"Arrhythmia, Burns, Chest Pain","I— I don't know what's happening. I was just sitting next to him and, and— [crying] he just fell down and he's shaking, uh— like a— like a leaf or something. And— and he’s sweating, like, so much. His shirt’s all wet. His, uh, his face is really red— like he’s been running, or something. [short breath, moan] I— I’m scared!

We were just pouring coffee and he… he dropped the mug, and [gasping] his hand, his hand— it’s not moving! [heavy breathing] Oh God, and— and his chest, it— it looks like he's… he’s struggling to breathe or something! [sobbing] He's— he's, uh, not responding to me! Not, uhm, not reacting, or anything. I need… he needs help! [sobbing, sighs] He's— I’m looking in his eyes and he's… he's…

[broken voice, quietly] Please, please hurry."
Chest Injury,"Chest Pain, Burns, Arrhythmia","Oh, God, I— I need help! He's— [breathing heavily] he’s just laying there. Can’t— can't move or anything, he's so weak. Eyes are rolling back— and he's— he's sweating buckets. Like he’s been running a marathon. His skin— [crying] it's not right... it's really pale— and there’s this awful purple rash spreading all over him. I— I tried to get him to eat, he puked everything up! [sobbing] Please— [gasping] I need help right now!"
Chest Injury,"Shortness of Breath, Chest Pain, Burns","Oh—my God, I— I don't even know how to describe it... He… He just started shaking. Shaking like—[wheezing] like a leaf in the wind. He was overheating, too. I— I could feel it, he was… he was burning up. [sobbing] I tried to ask if he was OK and, and he… He couldn't talk. It… It was like he couldn't catch his breath. Then he… He just collapsed. I need an ambulance— now! God, he's not—[crying] he's not moving at all."
Chest Injury,"Shortness of Breath, Arrhythmia, Chest Pain","Uh— hello? I— I need help! [breathing heavily] My husband— he's not acting right! He got up— uh—the bed. And— and he almost fell over. He's so— so dizzy, I had to— to help him. He's clammy and he— [sobbing] I'm scared! His temperature’s like a furnace and— [sniffling] his chest— his chest is hurting him and— oh God, the shortness of breath— I— I can hardly understand what he's saying— [coughing]. I don't know what's happening— I— I need help!"
Chest Injury,"Shortness of Breath, Burns, Chest Pain","I— I can't— [gulps] she— she's got this— this fever that just won't— won't go down... And she's— uh— coughing so much and so hard her chest hurts. [sobbing] Her skin— it feels hot and— and clammy, like she's been in a bathtub for hours... And she's reluctant to eat, keeps... [swallows] whining about the scent of food. She's— uh— got this headache that— that she says feels like a sledgehammer... [gasps] She— she doesn't even recognize me sometimes… [whispering] She— she seems so— so confused... Please, help her."
Chest Injury,"Chest Pain, Shortness of Breath, Burns","Alright, I—uh, I need help—fast, okay? It’s, uh, it's my fiancé— he, um, just [gasping] dropped to the floor. Damn, he's so, so pale, and—and I—I tried to, um, feel his pulse… but it was so—, so weak, nearly unnoticeable. His, um, his forehead is burning… [whispering] but his fingers are like… ice. 

And his breathing… [crying] it’s so shaky, like he's, um, struggling for each breath. He's, um, trying to stand up, but his legs are just— they're [wheezing] giving out— they're not— they're not carrying him anymore… it's— it's just too much for him now. He's not— he's not waking up, he's not responding… [sirens in distance] I can hear the sirens, but they're not close enough… I... I can't lose him."
Burns,"Weakness, Blisters, Arrhythmia","Oh God— um, I need— I need someone— [breathing heavily] my husband, he's… Oh God, he's breaking out in these— these welts all over his skin... It's all red and splotchy and he's… he's scratching so bad that he's bleeding— [sniffs] and he's so hot to the touch, like— like he's burning up…

[gasping] And… and he's been— um, um he's been fainting, just dropping out of nowhere… And I, I uh… I just… [sirens in distance] I don't know what to do! His tongue, it's so swollen he can’t speak… he can’t— [crying] Please, hurry… he's all I have…"
